label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
1,0.0,0.0,0.0,-0.039470418473696464,-0.25570797670577594,0.04379799214529542,-0.18065283242050895,-0.41236574461401126,0.0456663961644145,-0.32225220392111575,-0.44204110468690333,0.039476765700924045,-0.4201567687123259,-0.3880425367052718,0.024648080662672767,-0.24305855439716914,-0.5311038244094279,-0.03414087116026346,-0.4011054724543111,-0.7445822081647031,-0.06330653222521408,-0.47973311492280823,-0.8882383748533412,-0.07831688966335947,-0.5417220259036896,-1.0,-0.08762925008058961,-0.3186022498267501,-0.4238768508170573,-0.06061542936662198,-0.47892360172478265,-0.45030726987112346,-0.0778493512745025,-0.426407614626871,-0.3813251966277294,-0.05359921627625057,-0.3549196191572724,-0.34234252322926223,-0.03461211242897809,-0.3661602525429098,-0.2883314978163222,-0.07871528930845458,-0.4777864580833451,-0.29231992764723896,-0.07288748768528058,-0.41876864446952705,-0.2521051410133593,-0.02772061333979952,-0.35460554533028427,-0.22726238494005008,-0.001843305667058731,-0.39088664155199665,-0.14851075439053008,-0.09446992788796152,-0.45837008580898525,-0.1671259672737417,-0.07752578781601766,-0.4037112006889985,-0.12990155038594955,-0.035928933907319056,-0.3519080717779605,-0.1035099692059626,-0.004807939310400127
1,0.0,0.0,0.0,-0.04159062432652673,-0.2650298667722041,0.04580648489272708,-0.18389538924496512,-0.42398226665450284,0.049623531245904656,-0.32130560566282407,-0.45706966425902035,0.04454191601772181,-0.4177626973630184,-0.40486388916923494,0.03051319228620941,-0.2550833597397292,-0.5396422803784834,-0.027895262468800204,-0.41805408588109144,-0.7476606283796697,-0.051895995237102775,-0.4985749360627337,-0.8890190967822686,-0.06426747890781362,-0.5624069440814636,-1.0,-0.07245802029842512,-0.33184811129263825,-0.4260492373876957,-0.05537742052286846,-0.4890939014373747,-0.4582556382980443,-0.06876515562242608,-0.43464523539741,-0.3956750510462442,-0.045532577196165006,-0.36201089956123517,-0.35551338367222396,-0.027624544117141055,-0.37714841187748666,-0.28466065320682354,-0.07413137872775065,-0.48370038590798997,-0.29514344145191546,-0.06580284188300571,-0.42166349863369856,-0.26145005562604606,-0.02299553322801016,-0.35750631366273533,-0.23649759081119126,0.0006672887297444162,-0.39833831418924726,-0.14239812383108544,-0.09030405205984704,-0.46311647181758125,-0.16965011194989674,-0.07117345840293508,-0.40552224946353516,-0.13861190942407908,-0.029427916860275648,-0.35260045338202395,-0.1113809288969413,0.0012180672493543052
1,0.0,0.0,0.0,-0.04451590141745516,-0.2688895278921203,0.048524666498315036,-0.18427280402411872,-0.4242528815577192,0.05261479953127401,-0.3176195633459244,-0.4471454771596797,0.04705303221097031,-0.41007647622969773,-0.38937314227894687,0.032187901573037636,-0.25494046468848863,-0.5389516547258911,-0.0275513092598665,-0.42125954358658674,-0.7490260102821519,-0.050564791589540456,-0.5050061981500906,-0.8894269006090781,-0.06167617035946385,-0.5715957889654094,-1.0,-0.06908514341816158,-0.33148520845107643,-0.4227882821966796,-0.05671960597796864,-0.48570124812754173,-0.4620793188218962,-0.06993632315769245,-0.4296944109577421,-0.3947148665584777,-0.04584964381938409,-0.3558137817376205,-0.3518778563283787,-0.027302688568856183,-0.3758755007495765,-0.27985593064122494,-0.07659329596161277,-0.4818477027248874,-0.29445906588635773,-0.06798444624306171,-0.41982237951126933,-0.25693308207554905,-0.024171743175603985,-0.35453729945733004,-0.22981367288627066,0.0002587809302985892,-0.3967615388733529,-0.13622197726549096,-0.09354539217315572,-0.46582675640328447,-0.16720501617866215,-0.07357820903847116,-0.40829837311721645,-0.13618594064694778,-0.029803628042018613,-0.35360294260493735,-0.10844515931077224,0.0023416209286113193
1,0.0,0.0,0.0,-0.056835156150326575,-0.25959747809456235,0.03110261720775245,-0.2126377358191429,-0.4213720313070931,0.022333456820597217,-0.372682154690687,-0.43579492774118417,0.008325035320647397,-0.48238134688584045,-0.37357066673327455,-0.014671933265804054,-0.2578355604341497,-0.5341711067340702,-0.05583364205558948,-0.4243984015906916,-0.7443652661714651,-0.09331460291244982,-0.5067852525996138,-0.8859047634146922,-0.11275128059384396,-0.5739007795064746,-1.0,-0.12545873779816524,-0.32253017059640615,-0.4155177682216762,-0.08186598016220405,-0.4981057889464944,-0.4425374785163457,-0.11073663880381937,-0.4434021343732935,-0.370743372205704,-0.09161320443143822,-0.37058266078583024,-0.3323422421853044,-0.07655890431284532,-0.3656268560523741,-0.27178387582100055,-0.09968999091199574,-0.4992339098254131,-0.28602564472650416,-0.10762219133327054,-0.4371137485366586,-0.24576178783490082,-0.061047644193223366,-0.370373339583305,-0.218798315319545,-0.032111621753003305,-0.38995657575939324,-0.1282471147850468,-0.11547891571894385,-0.48666738359864053,-0.16343551209359045,-0.10804202093878197,-0.42979087174091973,-0.131935176386953,-0.0641873640767334,-0.3741485248725788,-0.10410166354641719,-0.031072400688125994
1,0.0,0.0,0.0,-0.14412164558778634,-0.14092545227402947,-0.02251676819161611,-0.27122682817627897,-0.26628675111315686,-0.08167377437187656,-0.3894410565487078,-0.3129982789394962,-0.14595469624032323,-0.450704353526874,-0.3211578781401915,-0.21230685473071864,-0.17405541556255003,-0.5736569332506015,-0.08658300213508366,-0.29624998907589906,-0.7427485817989095,-0.1694612308027702,-0.3676648634617389,-0.8742826296394657,-0.22178312408055156,-0.4125685157805048,-1.0,-0.2619999940269812,-0.12132555676982605,-0.5189344462217526,-0.11900140921265878,-0.3721579371483929,-0.4244434649066959,-0.2190851239385563,-0.36076964317661153,-0.29584790993600607,-0.22766877687557216,-0.3030052364181285,-0.29239192163999755,-0.22443152338738936,-0.10387292421317403,-0.40340014356977083,-0.15466021158595852,-0.34244048242852043,-0.28068272994618554,-0.23880565401854673,-0.31142715849220104,-0.1985183235632749,-0.1993512502046957,-0.24749498628907965,-0.2265594253395662,-0.16242538754559838,-0.10975792697904804,-0.2669736152447147,-0.19371836846587062,-0.29890759712898013,-0.17039546256543536,-0.2516926443568746,-0.26652328949705295,-0.11159815949302927,-0.228243402641153,-0.20595039569802043,-0.13427088722405991,-0.20198112368085586
1,0.0,0.0,0.0,-0.14492693147311472,-0.04481204424018435,-0.06687000190477593,-0.2827164273793454,-0.17061759199233592,-0.12208865340544732,-0.3420690979468996,-0.3261578221543312,-0.18112560360987634,-0.2879199895439628,-0.4704731973695316,-0.2354583167751869,-0.26175536748202904,-0.5207004935339555,-0.056757194013922214,-0.35023784073832626,-0.7328930979776698,-0.13983469775695567,-0.3957965685358478,-0.8694801641179835,-0.1856759718753099,-0.4216157523887306,-1.0,-0.2184698869957717,-0.16237990670120372,-0.5662125581448343,-0.0709329149474559,-0.25545373272473315,-0.5789319413431406,-0.1855139388582388,-0.2314016539958819,-0.3848167134616907,-0.19565819269320164,-0.19411283303672336,-0.3290776458734394,-0.17605765859928496,-0.06449012050350666,-0.557795477212363,-0.09815769576292085,-0.15566432666146526,-0.49582183051916096,-0.2019944075569288,-0.143491258345036,-0.3143615427415558,-0.1608256841419731,-0.11294900526495727,-0.2839834453818286,-0.10820973900452753,0.027567855929624657,-0.5074726775430838,-0.13494837994756223,-0.06185368674371439,-0.4369906555335899,-0.19330427804009742,-0.06399779848455676,-0.29711691900468223,-0.16326427107037356,-0.037898708082869464,-0.26901537555628435,-0.12555619807057147
1,0.0,0.0,0.0,-0.13686574079857702,-0.03864463602003145,-0.07229160721276169,-0.27141458890033504,-0.16738995286065222,-0.12581687206015432,-0.3146822020783535,-0.3254445378194904,-0.1808070958706413,-0.25435301690843193,-0.46007936052301757,-0.23068136591118063,-0.25802465877908765,-0.5167052511321627,-0.0670604387035248,-0.3455755785529232,-0.7329724318403885,-0.149703414992642,-0.3878995064285842,-0.867324556016629,-0.19582773609156726,-0.4135521519126998,-1.0,-0.22937760493994414,-0.154543943689373,-0.5586052715835904,-0.07949357239564477,-0.23450299030192456,-0.5824278862586197,-0.19668155161632045,-0.21707814929879116,-0.39088798358607996,-0.2110719629146043,-0.18641827282429163,-0.3340784933375649,-0.19469785436594964,-0.054186949069488115,-0.5447006869686506,-0.1044040201976918,-0.1298913407363665,-0.48804152945237195,-0.2118996000504106,-0.12298565017222292,-0.3064627494158289,-0.17398887130442003,-0.09704609515991768,-0.2773424148714585,-0.1229957734156334,0.03948178299954367,-0.4905689721943399,-0.13880986270878462,-0.03734764774191393,-0.4315596550741087,-0.20041309497482104,-0.04449399700766276,-0.2877695549407182,-0.1709024357384187,-0.024096891200510038,-0.25795580891432396,-0.13338526011848567
1,0.0,0.0,0.0,-0.12071594509651125,-0.02805698010557379,-0.08116940695643128,-0.24124360351649687,-0.15683613888920722,-0.13643145490517253,-0.2586889037717832,-0.3137856761943545,-0.19085221752884143,-0.20698455622842465,-0.45164950055393327,-0.23868084773727333,-0.2563872890369716,-0.5205020604931911,-0.07850411943747936,-0.32456518836529585,-0.7341256209262852,-0.16328394328749815,-0.36294715420612184,-0.8682898053091779,-0.20930064736720272,-0.38470892318942973,-1.0,-0.2425919604355773,-0.14835351096686608,-0.5581527331416798,-0.08675980894648687,-0.180677456261658,-0.5537813641229798,-0.20187883097776033,-0.17266581153689634,-0.35669558348481994,-0.21444936519223443,-0.15669082634798204,-0.32450802277136137,-0.199067956082997,-0.041348846840714805,-0.5347183042099728,-0.10840612241861844,-0.07250183023177784,-0.4772547562706925,-0.21533358301100325,-0.08682121187328054,-0.29267464888465794,-0.17838410500350002,-0.08304088712473585,-0.2925060836717741,-0.1307781241231925,0.05631757099793538,-0.47505834488415905,-0.14009351749843307,0.01733543304736323,-0.40776897744477525,-0.20391723746217755,-0.0029736769096573076,-0.2675496374582018,-0.1773943673602629,0.0018963253316603846,-0.26499370911960457,-0.14283230244839784
1,0.0,0.0,0.0,-0.11719731809083422,-0.02218841144120542,-0.0807438655599109,-0.23956898166117926,-0.1498626581019408,-0.1326299514875341,-0.24545158236399134,-0.30441172372991954,-0.18201859536345916,-0.18360794153038856,-0.43861461908764027,-0.22424053714915657,-0.2538907705855709,-0.5092926584453765,-0.08777811809145353,-0.3159065180864279,-0.7328191733048044,-0.17393682331277843,-0.35309335166718614,-0.864243479094807,-0.22247484002967527,-0.3781707057086149,-1.0,-0.25879833770889205,-0.1443928282840719,-0.5536070149018714,-0.0931498176253529,-0.14890071402235183,-0.5437177502496389,-0.20551998433424704,-0.1508915397520394,-0.35820451792961383,-0.22062394816592723,-0.15047682489118594,-0.32928463630478694,-0.2102061488632962,-0.03723322980581625,-0.5325296504925711,-0.11107129914235395,-0.044028851194476,-0.4502647371193776,-0.21018795648873612,-0.07013450369323024,-0.28073552272540236,-0.1799078749195069,-0.0841088393232631,-0.29402791160611935,-0.14144472395487367,0.06056158872079257,-0.4763312509031388,-0.13942222761764828,0.04440688970982271,-0.379801183103739,-0.20041578398549775,0.013488212054076226,-0.24712301285162475,-0.1821644745557242,-0.001269675466181623,-0.25422707841804426,-0.15599745721740307
1,0.0,0.0,0.0,-0.12064767072590192,-0.03074166875094151,-0.08650252210798477,-0.2392589772275944,-0.16585234912278266,-0.14262084816705226,-0.24312982923547624,-0.3291495956571991,-0.19581100436674814,-0.1843262922976609,-0.4688224098102172,-0.24181435602410026,-0.2537540576545295,-0.5152086227118361,-0.08803787000784076,-0.31642955473696843,-0.7296585041966116,-0.1776875583248268,-0.3547008822789184,-0.8648663094946395,-0.22763563234079975,-0.3757024201771624,-1.0,-0.26383001829843883,-0.14111150156635127,-0.5535701004369513,-0.09215898981000316,-0.15710673840352826,-0.5574951207761494,-0.20520117585873104,-0.1569555103305396,-0.3604998270328915,-0.21583801748128573,-0.1497819545407109,-0.3360599363786104,-0.20095474697604643,-0.03116367329599695,-0.5317824372972232,-0.11046305399276177,-0.046319463959058386,-0.4774224635092201,-0.2132694216984761,-0.07149196336864966,-0.29753458478474804,-0.17615285412204873,-0.07827147877002297,-0.3085661512331574,-0.13099203675517326,0.06745788933716279,-0.4744745590381686,-0.1396793969629085,0.04153570282953591,-0.4121749810492321,-0.20162137270683816,0.01305606709103089,-0.2768477577211546,-0.17703740798000397,0.008820768464149201,-0.28081071544762826,-0.14552568197033333
